Symbol  ,Date    ,Time  ,Open  ,High    ,Low   ,Closed,,,,,
NIFTY_F1,20150901,9:16,7921.65,7925,7919,7920.7,163850,22193100,,,
NIFTY_F1,20150901,9:17,7919.9,7920,7914,7914,89225,22193100,,,
NIFTY_F1,20150901,9:18,7914.15,7917.7,7913.5,7917.7,85675,22193100,,,
NIFTY_F1,20150901,9:19,7917.3,7926.15,7917.25,7925.4,76225,22296076,,,
NIFTY_F1,20150901,9:20,7925.45,7926.5,7920.35,7926,73975,22296076,,,
NIFTY_F1,20150901,9:21,7926.05,7927.95,7920.6,7927.95,93900,22296076,,,
NIFTY_F1,20150901,9:22,7929,7929.95,7924.6,7925,94575,22344176,,,
NIFTY_F1,20150901,9:23,7924,7924.95,7919.75,7920.35,41450,22344176,,,
NIFTY_F1,20150901,9:24,7920.05,7920.85,7914.65,7916.15,42575,22344176,,,
NIFTY_F1,20150901,9:25,7916.9,7918.8,7910.9,7917.9,77925,22390724,,,
NIFTY_F1,20150901,9:26,7917.9,7925,7917.3,7920.65,47625,22390724,,,
NIFTY_F1,20150901,9:27,7921.15,7931,7921.15,7931,64950,22390724,,,
NIFTY_F1,20150901,9:28,7931.8,7933,7927.15,7931,44600,22416350,,,
NIFTY_F1,20150901,9:29,7931,7932,7928.05,7930.5,32075,22416350,,,
NIFTY_F1,20150901,9:30,7931,7935,7929,7930,55125,22416350,,,
NIFTY_F1,20150901,9:31,7929.95,7931,7924.9,7926,33125,22416050,,,
NIFTY_F1,20150901,9:32,7926.1,7927.8,7923.1,7925,45125,22416050,,,
NIFTY_F1,20150901,9:33,7925.15,7928.15,7923.25,7928.1,20075,22416050,,,
NIFTY_F1,20150901,9:34,7929.5,7931.15,7923.5,7924.7,33450,22420400,,,
NIFTY_F1,20150901,9:35,7924.7,7929,7921,7925.75,34000,22420400,,,
NIFTY_F1,20150901,9:36,7926.65,7930.8,7924.65,7927.4,18700,22420400,,,
NIFTY_F1,20150901,9:37,7927,7932,7925.1,7930.9,18200,22441424,,,
NIFTY_F1,20150901,9:38,7930,7934.4,7928.55,7932,28375,22441424,,,
NIFTY_F1,20150901,9:39,7932.05,7932.05,7929,7932,18125,22441424,,,
NIFTY_F1,20150901,9:40,7931,7931.1,7928,7929.1,19325,22451250,,,
NIFTY_F1,20150901,9:41,7929.1,7932.15,7928.6,7931.3,13800,22451250,,,
NIFTY_F1,20150901,9:42,7931.3,7938.6,7930.8,7935.25,38075,22451250,,,
NIFTY_F1,20150901,9:43,7936,7939,7932.5,7934.05,36500,22460976,,,
NIFTY_F1,20150901,9:44,7934.1,7938.5,7934.1,7935.4,31575,22460976,,,
NIFTY_F1,20150901,9:45,7935.25,7940,7935.05,7938,26000,22460976,,,
NIFTY_F1,20150901,9:46,7937.85,7946.2,7936.15,7946.2,59925,22468550,,,
NIFTY_F1,20150901,9:47,7946.5,7946.5,7942.1,7943,38100,22468550,,,
NIFTY_F1,20150901,9:48,7940.85,7940.95,7934.05,7934.95,48950,22468550,,,
NIFTY_F1,20150901,9:49,7935.25,7937,7932,7937,22200,22477876,,,
NIFTY_F1,20150901,9:50,7936,7939.1,7934.9,7939,11750,22477876,,,
NIFTY_F1,20150901,9:51,7939.45,7942,7939,7941.5,17825,22477876,,,
NIFTY_F1,20150901,9:52,7941.9,7942.3,7938.05,7938.05,24825,22480576,,,
NIFTY_F1,20150901,9:53,7938,7939.85,7935.5,7935.7,21850,22480576,,,
NIFTY_F1,20150901,9:54,7935.7,7935.7,7927.15,7927.95,38900,22480576,,,
NIFTY_F1,20150901,9:55,7928,7932.5,7926,7932.45,32550,22494700,,,
NIFTY_F1,20150901,9:56,7930.35,7933.05,7927.75,7928.85,13725,22494700,,,
NIFTY_F1,20150901,9:57,7928.15,7932.8,7928.15,7931.05,15000,22494700,,,
NIFTY_F1,20150901,9:58,7930.4,7933.8,7930.05,7933,6600,22493876,,,
NIFTY_F1,20150901,9:59,7934.1,7934.85,7931.2,7933,13375,22493876,,,
NIFTY_F1,20150901,10:00,7933,7933,7925.35,7926.9,20600,22493876,,,
NIFTY_F1,20150901,10:01,7926.9,7930.6,7925.6,7929.65,21750,22486250,,,
NIFTY_F1,20150901,10:02,7929.7,7933,7927.2,7932.95,18675,22486250,,,
NIFTY_F1,20150901,10:03,7932.35,7932.35,7926.5,7927,18875,22486250,,,
NIFTY_F1,20150901,10:04,7927,7931,7925,7928.2,30375,22503800,,,
NIFTY_F1,20150901,10:05,7930,7931.5,7926.6,7930,16200,22503800,,,
NIFTY_F1,20150901,10:06,7930.9,7932,7927,7929.05,18050,22503800,,,
NIFTY_F1,20150901,10:07,7928,7930,7926.1,7929.25,15900,22512676,,,
NIFTY_F1,20150901,10:08,7929.6,7933,7929.15,7931.4,20075,22512676,,,
NIFTY_F1,20150901,10:09,7931,7931.35,7922.85,7923.35,40775,22512676,,,
NIFTY_F1,20150901,10:10,7924.5,7925,7917.9,7917.9,91800,22550776,,,
NIFTY_F1,20150901,10:11,7919.9,7921.25,7910.35,7914.55,97300,22550776,,,
NIFTY_F1,20150901,10:12,7914.45,7919.9,7912.55,7918,32400,22550776,,,
NIFTY_F1,20150901,10:13,7918,7919.5,7913.6,7916.55,38475,22611124,,,
NIFTY_F1,20150901,10:14,7916.5,7920.45,7915.65,7918,27425,22611124,,,
NIFTY_F1,20150901,10:15,7919.45,7920,7913.2,7913.2,42000,22611124,,,
NIFTY_F1,20150901,10:16,7914.35,7916.5,7911.4,7911.4,29400,22642024,,,
NIFTY_F1,20150901,10:17,7911.4,7912.4,7901.5,7910.25,177375,22642024,,,
NIFTY_F1,20150901,10:18,7911.6,7913.95,7909.35,7912.85,40300,22642024,,,
NIFTY_F1,20150901,10:19,7911.5,7917,7911.5,7916.4,22775,22686376,,,
NIFTY_F1,20150901,10:20,7916,7917.05,7912,7916.1,22250,22686376,,,
NIFTY_F1,20150901,10:21,7917,7919.95,7916.65,7917.45,28375,22686376,,,
NIFTY_F1,20150901,10:22,7917.5,7919,7917.1,7918.5,15125,22665024,,,
NIFTY_F1,20150901,10:23,7918.65,7923.95,7918.65,7921,23350,22665024,,,
NIFTY_F1,20150901,10:24,7920.4,7920.4,7917.1,7917.1,16450,22665024,,,
NIFTY_F1,20150901,10:25,7917.95,7921.65,7916.1,7919.1,12125,22675700,,,
NIFTY_F1,20150901,10:26,7919.1,7923,7919.1,7922.45,14400,22675700,,,
NIFTY_F1,20150901,10:27,7923,7923,7919,7919.1,12525,22675700,,,
